"","x"
"2239",1055
"2240",1130
"2241",1131
"2242",1132
"2243",1133
"2244",640
"2245",1134
"2246",527
"2247",533
"2248",393
"2249",439
"2250",56
"2251",1135
"2252",332
"2253",1136
"2254",800
"2255",195
"2256",1137
"2257",1138
"2258",1139
"2259",1139
"2260",769
"2261",1140
"2262",1141
"2263",1142
"2264",1143
"2265",1144
"2266",1145
"2267",1146
"2268",1147
"2269",1148
"2270",1148
"2271",1149
"2272",557
"2273",728
"2274",482
"2275",1150
"2276",1151
"2277",1152
"2278",569
"2279",486
"2280",487
"2281",731
"2282",1153
"2283",729
"2284",1154
"2285",1155
"2286",1156
"2287",471
"2288",1157
"2289",1142
"2290",1158
"2291",760
"2292",1159
"2293",1159
"2294",1159
"2295",1159
"2296",1159
"2297",1159
"2298",1159
"2299",1160
"2300",1161
"2301",1162
"2302",1163
"2303",442
"2304",1164
"2305",1165
"2306",205
"2307",1166
"2308",442
"2309",205
"2310",1164
"2311",1165
"2312",205
"2313",205
"2314",205
"2315",442
"2316",89
"2317",442
"2318",442
"2319",442
"2320",969
"2321",1127
"2322",1167
"2323",1168
"2324",1169
"2325",862
"2326",1170
"2327",1171
"2328",745
"2329",760
"2330",1172
"2331",1173
"2332",1172
"2333",1174
"2334",1175
"2335",1176
"2336",332
"2337",1177
"2338",1178
"2339",1179
"2340",1180
"2341",332
"2342",1181
"2343",1182
"2344",1183
"2345",205
"2346",1184
"2347",1185
"2348",205
"2349",1186
"2350",442
"2351",442
"2352",442
"2353",442
"2354",442
"2355",360
"2356",1187
"2357",1188
"2358",1189
"2359",1190
"2360",1191
"2361",1192
"2362",1193
"2363",1194
"2364",1195
"2365",1134
"2366",1196
"2367",1197
"2368",1198
"2369",1199
"2370",1200
"2371",1201
"2372",205
"2373",1202
"2374",332
"2375",1203
"2376",362
"2377",1204
"2378",1205
"2379",1206
"2380",1207
"2381",1208
"2382",36
"2383",36
"2384",1209
"2385",1208
"2386",1210
"2387",1211
"2388",1212
"2389",1213
"2390",1214
"2391",1215
"2392",912
"2393",1193
"2394",1216
"2395",1217
"2396",1194
"2397",1135
"2398",195
"2399",1218
